contract_address,raw_categories,is_overflow,is_access_control,is_dangerous_call,is_logic_error,is_replay_race,is_nonstandard_erc20
0x00138bD67465733AE1BEDfD2105a6ffa83AF97D8,[A16],0,0,1,0,0,0
0x003f79D7Be15dC1aD90Ce00E6eA68F335e2B789B,[A6],1,0,0,0,0,0
0x004Dcfc79b28Ae0D52C2C013a328f84b433a1829,[A6],1,0,0,0,0,0
0x0156888F51d68F858AC88aBa45DF699e2af2E4Cc,[A18],0,1,0,0,0,0
0x01982364172d4C429372F37ACE5d47FE4f71F862,[A10],0,0,0,1,0,0
0x01F2AcF2914860331C1Cb1a9AcecDa7475e06Af8,[A12][A13][A16][A3],1,0,1,0,1,0
0x01bbec6573ed7EcA0f307a10d2B4CEB669816B4a,[A16],0,0,1,0,0,0
0x025abAD9e518516fdaAFBDcdB9701b37fb7eF0FA,[A2],1,0,0,0,0,0
0x0298d4D15bC4294386b05E5185D3833fC76924B3,[A16],0,0,1,0,0,0
0x02c41cdE8a11fcf333277f2Bc543eb2B0925809c,[A16],0,0,1,0,0,0
0x040a05E50007873f8D527B2e4E63C41Bf723665d,[A16],0,0,1,0,0,0
0x041B3eb05560Ba2670DEF3Cc5eeC2AeEF8e5D14b,[A12][A13][A16],0,0,1,0,1,0
0x047187e53477be70DBe8Ea5B799318f2e165052F,[A16],0,0,1,0,0,0
0x06308B924dC8Fe805BD28d3170B7c8b9909E4EBa,[A1],1,0,0,0,0,0
0x066420fF2aF331b3F7c1a5925121e068c69614dF,[A10],0,0,0,1,0,0
0x0675DAa94725A528b05A3A88635C03EA964BFA7E,[A2],1,0,0,0,0,0
0x0763EA00a235DaDdFf3Ed5B0F03ff414577E0173,[A16],0,0,1,0,0,0
0x086D6C602E769599143637cA1F2D71d0E8db59Ce,[A16],0,0,1,0,0,0
0x090fC358FA1a992C083590c7dd33Ad5208A02e9d,[A1],1,0,0,0,0,0
0x093e5C256Ff8B32c7F1377f4C20e331674C77F00,[A2],1,0,0,0,0,0
0x0B4cE72A70e87BEe66e0f43E9c861366e9D7DE19,[A10],0,0,0,1,0,0
0x0BDBc0748bA09fBE9e9ED5938532E41446c2f033,[A2],1,0,0,0,0,0
0x0D324B2e732c35162b99BAFc63E35b16E6ec54cD,[A16],0,0,1,0,0,0
0x0D44b2757F1b6C742Ff8707F6eb298A7DA1981af,[A16],0,0,1,0,0,0
0x0D6f4cef46F23877A930C2d782cc275C978bC1eE,[A2][A6],1,0,0,0,0,0
0x0DAf4CD0d8F3132Ca5eb256aBbE03d45DbbAf7C4,[A17],0,1,0,0,0,0
0x0Ec4207AA379dFcd9239e987530b95a55178e5eB,[A1],1,0,0,0,0,0
0x10c0337c42843E0b8CE743d7D5fF39b711f3aD82,[A2],1,0,0,0,0,0
0x113058C101b2D78e001D4a7D2174a66b5ff3A4A7,[A1],1,0,0,0,0,0
0x117820a67905555D4203d6915807D39921636b8D,[A2],1,0,0,0,0,0
0x11838ECe89439C4f0224Bc7b9f76E07721d99f9e,[A6],1,0,0,0,0,0
0x11D635bbba3f9B8f7C9b91cA9f315a2207cb5AD5,[A16],0,0,1,0,0,0
0x123aB195DD38B1b40510d467a6a359b201af056f,[A7],1,0,0,0,0,0
0x129AcF3033AdF867E186141Ed182EAfD39596436,[A10],0,0,0,1,0,0
0x12CCA3373658D7D9a6d92403065377723ceB7B9b,[A10],0,0,0,1,0,0
0x12E29d7d6fD63f0f12040Fcd1bf9021919b0E4fA,[A16],0,0,1,0,0,0
0x12F9cf26A436B67728480DF770416F9be5605d77,[A5],1,0,0,0,0,0
0x130282173B796f75E0EB65eAF9F4d10835E1287a,[A10],0,0,0,1,0,0
0x1400300399F6fC996a58846bC251E28282a97C2b,[A16],0,0,1,0,0,0
0x1443616b940AEA9fD52ADd2EbDc6966a4ac5F27d,[A10],0,0,0,1,0,0
0x14Fb4c93Fe461EC3F9F22B61aB7030F258867969,[A24],0,1,0,0,0,0
0x14c7a2cE7482C3c66897dcAe3EEd5d62985f5E86,[A10],0,0,0,1,0,0
0x14d9779B6585F3A7d4f768383B3cb030705dad2e,[A18],0,1,0,0,0,0
0x15aDB79e6AF601551A64060AeBBEdd39D929C5a7,[A5],1,0,0,0,0,0
0x173905A75a0244fcb20DB32DbaCfAdD3996CC702,[A10],0,0,0,1,0,0
0x17CBA58578eecAEE898242a02eDac75b8CC17231,[A16],0,0,1,0,0,0
0x17E4cc902015958839e693f179F49C75696381CE,[A10],0,0,0,1,0,0
